,id,original_title,popularity,vote_average,vote_count
124,522924,The Art of Racing in the Rain,54.856,8.199,1341
125,654299,Como caído del cielo,12.418,8.196,322
126,490,Det sjunde inseglet,31.948,8.195,2729
127,324786,Hacksaw Ridge,109.131,8.194,12821
128,810693,劇場版 呪術廻戦 0,101.231,8.19,1122
129,26451,Indagine su un cittadino al di sopra di ogni sospetto,15.273,8.192,698
130,10098,The Kid,20.259,8.2,1900
131,629,The Usual Suspects,46.78,8.192,9709
132,133919,Scener ur ett äktenskap,7.37,8.19,308
133,77,Memento,40.686,8.188,13875
134,791373,Zack Snyder's Justice League,93.065,8.183,9323
135,18148,東京物語,23.684,8.2,939
136,575813,少年的你,21.95,8.179,364
137,872585,Oppenheimer,1645.023,8.178,4776
138,426,Vertigo,34.643,8.176,5318
139,517814,کفرناحوم,29.03,8.174,1549
140,592350,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,36.106,8.174,1091
141,606856,Togo,33.95,8.173,1837
142,68718,Django Unchained,76.794,8.173,24889
143,1398,Сталкер,33.986,8.173,1903
144,313106,Doctor Who: The Day of the Doctor,14.271,8.175,709
145,872,Singin' in the Rain,23.653,8.17,2895
146,555604,Guillermo del Toro's Pinocchio,53.979,8.168,2538
147,289,Casablanca,41.278,8.168,5001
148,620683,Minha Mãe é uma Peça 3: O Filme,5.936,8.167,452
149,531428,Portrait de la jeune fille en feu,34.927,8.167,2241
150,1422,The Departed,49.39,8.167,13946
151,111,Scarface,74.793,8.166,10908
152,475557,Joker,79.195,8.165,23671
153,550776,Believe Me: The Abduction of Lisa McVey,32.134,8.164,537
154,398818,Call Me by Your Name,54.328,8.164,11444
155,92060,Michael Jackson's Thriller,18.076,8.163,614
156,458220,Palmer,36.421,8.162,1341
157,399106,Piper,12.358,8.162,1535
158,422,8½,28.114,8.16,2092
159,81481,도가니,22.273,8.16,539
160,518068,신과함께-인과 연,40.755,8.159,538
161,103,Taxi Driver,59.553,8.154,11259
162,755812,"Miraculous World : New York, les héros unis",42.658,8.2,1032
163,470044,The Hate U Give,28.426,8.152,2010
164,406997,Wonder,48.877,8.151,7468
165,489,Good Will Hunting,75.579,8.15,11251
166,348,Alien,78.462,8.15,13376
167,19,Metropolis,30.634,8.15,2463
168,508442,Soul,71.298,8.148,9611
169,20914,Amici miei,5.734,8.151,651
170,20532,山椒大夫,23.756,8.148,334
171,600354,The Father,29.355,8.147,2835
172,762975,Purple Hearts,51.469,8.145,2170
173,55823,La grande guerra,8.964,8.151,318
174,666,Central do Brasil,12.553,8.139,798
175,600,Full Metal Jacket,52.105,8.137,9788
176,664767,Mortal Kombat Legends: Scorpion's Revenge,75.553,8.1,1308
177,532067,映画 この素晴らしい世界に祝福を！紅伝説,24.803,8.135,489
178,37165,The Truman Show,61.166,8.135,17042
179,930094,"Red, White & Royal Blue",68.823,8.134,895
180,20941,Voces inocentes,12.246,8.133,411
181,500,Reservoir Dogs,49.405,8.132,13423
182,439,La dolce vita,26.201,8.132,1698
183,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,32.107,8.131,5175
184,614,Smultronstället,24.898,8.13,1490
185,100,"Lock, Stock and Two Smoking Barrels",19.057,8.125,6142
186,705,All About Eve,21.431,8.125,1408
187,548,羅生門,21.654,8.124,1986
188,996,Double Indemnity,20.006,8.123,1642
189,411088,Contratiempo,36.616,8.12,4238
190,640344,Me contro Te: Il film - La vendetta del Signor S,9.258,8.117,461
191,823754,Bo Burnham: Inside,18.367,8.1,410
192,11878,用心棒,20.649,8.115,1288
193,2457,Les Enfants du Paradis,12.061,8.115,364
194,397567,신과함께-죄와 벌,37.661,8.11,902
195,38288,I corti,4.778,8.112,339
196,1000492,Je verrai toujours vos visages,15.368,8.111,302
197,239,Some Like It Hot,42.259,8.112,3194
198,9702,Bound by Honor,39.585,8.11,1172
199,103663,Jagten,28.526,8.106,3804
200,280,Terminator 2: Judgment Day,78.612,8.106,11887
201,149871,かぐや姫の物語,36.125,8.104,1589
202,24382,I soliti ignoti,14.199,8.107,642
203,843,花樣年華,37.422,8.104,2383
204,12445,Harry Potter and the Deathly Hallows: Part 2,109.532,8.103,19358
205,38,Eternal Sunshine of the Spotless Mind,59.542,8.101,13855
206,1010581,Culpa mía,299.615,8.095,1930
207,46738,Incendies,24.647,8.096,2371
208,472454,Ayla,16.549,8.095,333
209,146233,Prisoners,39.92,8.094,10873
210,832,M - Eine Stadt sucht einen Mörder,21.208,8.096,1945
211,655,"Paris, Texas",26.94,8.095,1586
212,678512,Sound of Freedom,419.664,8.092,1492
213,992,Sherlock Jr.,12.489,8.091,867
214,7345,There Will Be Blood,37.772,8.088,6072
215,400608,Bo Burnham: Make Happy,8.921,8.087,347
216,406,La Haine,27.459,8.087,3667
217,4348,Pride & Prejudice,56.593,8.085,7478
218,334543,Lion,27.518,8.083,6240
219,3780,赤ひげ,20.84,8.082,311
220,638507,How to Train Your Dragon: Homecoming,40.978,8.075,858
221,359940,"Three Billboards Outside Ebbing, Missouri",26.864,8.081,9510
222,10681,WALL·E,79.85,8.081,17605
223,62,2001: A Space Odyssey,66.611,8.08,10700
224,831827,Far from the Tree,15.46,8.078,341
225,387,Das Boot,29.522,8.077,2015
226,663558,新神榜：哪吒重生,23.328,8.077,383
227,8422,Rocco e i suoi fratelli,16.188,8.081,521
228,11645,乱,22.803,8.077,1384
229,895,Андрей Рублёв,24.256,8.1,717
230,437068,택시운전사,20.506,8.07,853
231,8392,となりのトトロ,59.624,8.07,7231
232,21634,Prayers for Bobby,14.774,8.068,536
233,11423,살인의 추억,38.323,8.064,3398
234,785534,Kağıttan Hayatlar,15.984,8.061,344
235,42229,Una giornata particolare,13.865,8.064,592
236,7347,Tropa de Elite,30.488,8.061,2188
237,800,Los olvidados,20.966,8.057,437
238,147,Les Quatre Cents Coups,15.748,8.059,1956
239,381284,Hidden Figures,59.713,8.058,9028
240,11659,La meglio gioventù,14.215,8.055,482
241,1091,The Thing,56.277,8.053,6334
242,120467,The Grand Budapest Hotel,27.021,8.052,13930
243,26022,My Name Is Khan,24.004,8.1,1212
244,522518,A Dog's Journey,35.97,8.1,1379
245,610461,"Veinteañera, Divorciada y Fantástica",6.369,8.049,375
246,538362,Sulla mia pelle,15.001,8.0,1806
247,1955,The Elephant Man,31.656,8.049,3207
248,526702,Black Beauty,14.448,8.0,311
249,337404,Cruella,102.042,8.047,8602
250,400928,Gifted,66.802,8.043,5041
251,821,Judgment at Nuremberg,19.523,8.039,691
252,678580,El mesero,11.972,8.038,344
253,449176,"Love, Simon",17.481,8.038,5777
254,515001,Jojo Rabbit,35.375,8.037,8829
255,310569,Que Horas Ela Volta?,11.893,8.037,682
256,780,La Passion de Jeanne d'Arc,16.389,8.0,835
257,279,Amadeus,36.913,8.036,3885
258,106646,The Wolf of Wall Street,113.074,8.035,22470
259,582,Das Leben der Anderen,25.834,8.035,3355
260,204,Le Salaire de la peur,17.223,8.031,817
261,264644,Room,25.87,8.03,8746
262,55960,"Totò, Peppino e la... malafemmina",10.709,8.028,320
263,641,Requiem for a Dream,17.208,8.0,9274
264,574074,Kitbull,15.019,8.0,327
265,339877,Loving Vincent,17.551,8.024,2301
266,5801,পথের পাঁচালী,13.573,8.021,356
267,307,Roma città aperta,17.918,8.024,793
